ID_cattura;DATA;ALBA;sessione;occasione;ID_TRAPPOLA;chip;ricattura;pelo;peso (g);sex;eta;statoripr;NOTE;DOY
1;31/08/2014;T;I (settembre);1;11;1315302;N;NA;36;F;A;NR;;243
2;01/09/2014;A;I (settembre);2;6;NA;N;SI;35;F;A;NR;;244
3;01/09/2014;A  ;I (settembre);2;11;NA;N ;SI e;41;M;A;R;;244
4;01/09/2014;A;I (settembre);2;35;1314921;N;NA;39;F;A;IND;;244
5;01/09/2014;A;I (settembre);2;45;1314375;N;NA;33;M;G;NR;;244
6;01/09/2014;T;I (settembre);3;26;1314305;N;NA;45;M;A;R;;244
7;02/09/2014;A;I (settembre);4;66;1315302;R;NA;29;F;A;NR;;245
8;02/09/2014;A;I (settembre);4;45;1314375;R;NA;29;M;G;NR;;245
9;02/09/2014;A;I (settembre);4;57;NA;N;NA;43;M;A;NR;;245
10;02/09/2014;A;I (settembre);4;26;1314112;N;NA ;41;M;A;NR;;245
11;02/09/2014;T;I (settembre);5;29;1314305;R;NA;48;M;A;NR;;245
12;02/09/2014;T;I (settembre);5;62;1315302;R;NA;33;F;A;NR;;245
13;03/09/2014;A;I (settembre);6;2;1314305;R;NA;51;M;A;R;;246
14;03/09/2014;A;I (settembre);6;46;1314375;R;NA ;23;M;G;NR;;246
15;03/09/2014;A;I (settembre);6;51;1314921;R;NA;38;F;A;NR;;246
16;03/09/2014;A;I (settembre);6;53;NA;N;SI 6;13;IND;G;NR;;246
17;03/09/2014;A;I (settembre);6;63;1315302;R;NA ;30;F;A;NR;;246
18;03/09/2014;T;I (settembre);7;45;NA;NA;NA;NA;NA;NA;NA;;246
19;05/09/2014;A;I (settembre);10;10;NA;R;SI 8;31;F;A;NR;;248
20;05/09/2014;A;I (settembre);10;16;NA;NA;NA;18;M;G;NR;;248
21;05/09/2014;A;I (settembre);10;18;1313426;N;NA;19;F;G;NR;;248
22;05/09/2014;A;I (settembre);10;26;1314112;R;NA;32;M;A;NR;;248
23;05/09/2014;A;I (settembre);10;45;1314375;R;NA;21;M;G;NR;;248
24;05/09/2014;A;I (settembre);10;53;1314305;R;NA;44;M;A;NR;;248
25;05/09/2014;A;I (settembre);10;56;1314452;N;NA;41;M;A;NR;;248
26;05/09/2014;A;I (settembre);10;66;1315302;R;NA;30;F;A;NR;;248
27;05/09/2014;A;I (settembre);10;16;1313426;R;NA;17;F;G;NR;;248
28;06/09/2014;A;I (settembre);12;30;1314305;R;NA;40;M;A;R;;249
29;06/09/2014;A;I (settembre);12;33;1314112;R;NA;29;M;A;NR;;249
30;06/09/2014;A;I (settembre);12;40;1314912;N;NA;32;F;A;NR;;249
31;06/09/2014;A;I (settembre);12;45;NA;N;NA;27;M;A;NR;;249
32;06/09/2014;A;I (settembre);12;66;1315139;N;NA;43;M;A;NR;;249
33;06/09/2014;A;I (settembre);12;67;1315302;R;NA;30;F;A;NR;;249
34;06/09/2014;A;I (settembre);12;70;NA;N;NA;26;NA;NA;NA;;249
35;07/09/2014;A;I (settembre);14;31;1314112;R;NA;29;M;A;NR;;250
