ID_cattura;DATA;ALBA;sessione;occasione;ID_TRAPPOLA;chip;ricattura;pelo;peso (g);sex;eta;statoripr;NOTE;DOY
1;14/07/2015;T;I (luglio);1;23;1313062;N;NA;43;M;A;R;;195
2;16/07/2015;A;I (luglio);4;55;NA;N;NA;40;F;A;R;;197
3;16/07/2015;A;I (luglio);4;19;1313062;R;NA;45;M;A;R;;197
4;17/07/2015;A;I (luglio);6;19;1313062;R;NA;44;M;A;R;;198
5;17/07/2015;A;I (luglio);6;23;NA;N;F;36;F;A;NR;;198
6;17/07/2015;A;I (luglio);6;12;1317018;N;E;43;F;A;R;;198
7;17/07/2015;T;I (luglio);7;66;1313062;R;NA;NA;M;A;R;;198
8;17/07/2015;T;I (luglio);7;61;NA;N;NA;NA;NA;A;NA;;198
9;18/07/2015;A;I (luglio);8;19;NA;N;D;18;NA;G;NR;;199
10;18/07/2015;A;I (luglio);8;67;1310363;N;C;40;F;A;R;;199
11;18/07/2015;A;I (luglio);8;43;1313039;N;NA;33;F;A;NR;;199
12;18/07/2015;A;I (luglio);8;32;NA;N;A/C;39;M;A;NR;;199
13;20/07/2015;A;I (luglio);12;2;NA;N;NA;36;NA;A;NA;;201
14;20/07/2015;A;I (luglio);12;10;1317018;R;E;34;F;A;R;;201
15;20/07/2015;A;I (luglio);12;12;1313062;R;NA;44;M;A;R;;201
16;20/07/2015;A;I (luglio);12;40;NA;N;E;16;NA;G;NR;;201
17;20/07/2015;A;I (luglio);12;39;NA;N;NA;14;NA;G;NR;;201
18;20/07/2015;A;I (luglio);12;33;1315296;N;NA;46;NA;A;NA;;201
19;21/07/2015;A;I (luglio);14;15;NA;N;A/C;46;M;A;R;;202
20;21/07/2015;A;I (luglio);14;13;NA;N;NA;18;NA;G;NR;;202
21;21/07/2015;A;I (luglio);14;45;NA;R;F;38;F;A;NR;;202
22;21/07/2015;A;I (luglio);14;42;NA;R;C;37;F;A;R;;202
23;21/07/2015;A;I (luglio);14;33;NA;N;A;22;NA;G;NR;;202
24;21/07/2015;A;I (luglio);14;29;NA;N;NA;17;NA;G;NR;;202
25;21/07/2015;T;I (luglio);15;13;NA;N;NA;NA;NA;G;NR;;202
26;21/07/2015;T;I (luglio);15;26;NA;N;NA;NA;NA;G;NR;;202
27;21/07/2015;T;I (luglio);15;34;NA;R;+;NA;NA;A;NA;;202
28;21/07/2015;T;I (luglio);15;42;1313062;R;NA;NA;M;A;R;;202
29;22/07/2015;A;I (luglio);16;16;1317018;R;E;31;F;A;R;;203
30;22/07/2015;A;I (luglio);16;42;NA;R;F;33;F;A;NR;;203
31;22/07/2015;A;I (luglio);16;34;NA;N;B;42;M;A;R;;203
32;22/07/2015;T;I (luglio);17;9;NA;N;NA;18;NA;G;NR;;203
33;22/07/2015;T;I (luglio);17;38;NA;N;C/D;45;NA;A;NR;;203
34;22/07/2015;T;I (luglio);17;31;NA;N;NA;19;NA;G;NR;;203
35;23/07/2015;A;I (luglio);18;7;NA;R;F;32;F;A;NR;;204
36;23/07/2015;A;I (luglio);18;16;1313062;R;NA;43;M;A;R;;204
37;23/07/2015;A;I (luglio);18;14;NA;N;NA;18;NA;G;NR;;204
38;23/07/2015;A;I (luglio);18;35;NA;N;NA;36;NA;A;NR;;204
39;23/07/2015;A;I (luglio);18;34;NA;R;B;41;M;A;R;;204
40;24/07/2015;A;I (luglio);20;55;1314120;N;B/D;37;M;A;NR;;205
41;24/07/2015;A;I (luglio);20;61;1313062;R;NA;38;M;A;R;;205
42;24/07/2015;A;I (luglio);20;64;NA;R;B;46;M;A;NR;;205
43;24/07/2015;A;I (luglio);20;26;NA;N;NA;18;NA;G;NR;;205
44;24/07/2015;A;I (luglio);20;30;1314691;R;F;36;F;A;NR;;205
45;24/07/2015;A;I (luglio);20;35;NA;N;NA;18;NA;G;NR;;205
46;24/07/2015;A;I (luglio);20;31;NA;N;NA;18;NA;G;NR;;205
47;27/08/2015;T;II (sett.);1;55;NA;R;B;38;M;A;R;;239
48;27/08/2015;T;II (sett.);1;65;NA;N;E/F;35;M;A;R;;239
49;27/08/2015;T;II (sett.);1;39;NA;N;A/B;35;F;A;NR;;239
50;27/08/2015;T;II (sett.);1;28;NA;N;A/E;35;M;A;NR;;239
51;27/08/2015;T;II (sett.);1;29;NA;N;A;39;NA;A;NA;;239
52;28/08/2015;A;II (sett.);2;11;1313807;N;NA;35;F;A;R;;240
53;28/08/2015;A;II (sett.);2;13;1314797;N;NA;25;M;G;NR;;240
54;28/08/2015;A;II (sett.);2;55;1315304;R;B;34;M;A;R;;240
55;28/08/2015;A;II (sett.);2;16;NA;N;NA;18;NA;G;NR;;240
56;28/08/2015;A;II (sett.);2;57;1314440;N;NA;37;M;A;R;;240
57;28/08/2015;A;II (sett.);2;46;1314106;N;NA;33;M;A;R;;240
58;28/08/2015;A;II (sett.);2;44;1316717;N;NA;31;M;A;R;;240
59;28/08/2015;A;II (sett.);2;39;1314691;R;F;38;F;A;NR;;240
60;28/08/2015;A;II (sett.);2;32;NA;NA;NA;NA;M;A;R;;240
61;28/08/2015;T;II (sett.);3;12;1314797;R;NA;26;M;G;NR;;240
62;28/08/2015;T;II (sett.);3;58;NA;N;NA;21;NA;G;NR;;240
63;28/08/2015;T;II (sett.);3;29;1314691;R;F;35;F;A;NR;;240
64;28/08/2015;T;II (sett.);3;31;1312250;R;A/E;30;M;A;NR;;240
65;28/08/2015;T;II (sett.);3;37;1314269;N;NA;37;M;A;NR;;240
66;29/08/2015;A;II (sett.);4;3;1314106;R;NA;32;M;A;R;;241
67;29/08/2015;A;II (sett.);4;16;1313807;R;NA;29;F;A;R;;241
